sched_num	name	abbr	routeid	number	origin	destination	direction	color	holidays	num_stns	stations
35	Pittsburg/Bay Point - SFIA/Millbrae	PITT-SFIA	ROUTE 1	1	PITT	SFIA		#ffff33	1	26	PITT,NCON,CONC,PHIL,WCRK,LAFY,ORIN,ROCK,MCAR,19TH,12TH,WOAK,EMBR,MONT,POWL,CIVC,16TH,24TH,GLEN,BALB,DALY,COLM,SSAN,SBRN,SFIA,MLBR
35	Millbrae/SFIA - Pittsburg/Bay Point	SFIA-PITT	ROUTE 2	2	SFIA	PITT		#ffff33	1	26	MLBR,SFIA,SBRN,SSAN,COLM,DALY,BALB,GLEN,24TH,16TH,CIVC,POWL,MONT,EMBR,WOAK,12TH,19TH,MCAR,ROCK,ORIN,LAFY,WCRK,PHIL,CONC,NCON,PITT
35	Fremont - Richmond	FRMT-RICH	ROUTE 3	3	FRMT	RICH		#ff9933	1	18	FRMT,UCTY,SHAY,HAYW,BAYF,SANL,COLS,FTVL,LAKE,12TH,19TH,MCAR,ASHB,DBRK,NBRK,PLZA,DELN,RICH
35	Richmond - Fremont	RICH-FRMT	ROUTE 4	4	RICH	FRMT		#ff9933	1	18	RICH,DELN,PLZA,NBRK,DBRK,ASHB,MCAR,19TH,12TH,LAKE,FTVL,COLS,SANL,BAYF,HAYW,SHAY,UCTY,FRMT
35	Fremont - Daly City	FRMT-DALY	ROUTE 5	5	FRMT	DALY		#339933	0	19	FRMT,UCTY,SHAY,HAYW,BAYF,SANL,COLS,FTVL,LAKE,WOAK,EMBR,MONT,POWL,CIVC,16TH,24TH,GLEN,BALB,DALY
35	Daly City - Fremont	DALY-FRMT	ROUTE 6	6	DALY	FRMT		#339933	0	19	DALY,BALB,GLEN,24TH,16TH,CIVC,POWL,MONT,EMBR,WOAK,LAKE,FTVL,COLS,SANL,BAYF,HAYW,SHAY,UCTY,FRMT
35	Richmond - Daly City/Millbrae	RICH-MLBR	ROUTE 7	7	RICH	MLBR		#ff0000	0	23	RICH,DELN,PLZA,NBRK,DBRK,ASHB,MCAR,19TH,12TH,WOAK,EMBR,MONT,POWL,CIVC,16TH,24TH,GLEN,BALB,DALY,COLM,SSAN,SBRN,MLBR
35	Millbrae/Daly City - Richmond	MLBR-RICH	ROUTE 8	8	MLBR	RICH		#ff0000	0	23	MLBR,SBRN,SSAN,COLM,DALY,BALB,GLEN,24TH,16TH,CIVC,POWL,MONT,EMBR,WOAK,12TH,19TH,MCAR,ASHB,DBRK,NBRK,PLZA,DELN,RICH
35	Dublin/Pleasanton - Daly City	DUBL-DALY	ROUTE 11	11	DUBL	DALY		#0099cc	1	17	DUBL,WDUB,CAST,BAYF,SANL,COLS,FTVL,LAKE,WOAK,EMBR,MONT,POWL,CIVC,16TH,24TH,GLEN,BALB,DALY
35	Daly City - Dublin/Pleasanton	DALY-DUBL	ROUTE 12	12	DALY	DUBL		#0099cc	1	17	DALY,BALB,GLEN,24TH,16TH,CIVC,POWL,MONT,EMBR,WOAK,LAKE,FTVL,COLS,SANL,BAYF,CAST,WDUB,DUBL
35	Coliseum - Oakland Int'l Airport	COLS-OAKL	ROUTE 19	19	COLS	OAKL	north	#d5cfa3	1	2	COLS,OAKL
35	Oakland Int'l Airport - Coliseum	OAKL-COLS	ROUTE 20	20	OAKL	COLS	south	#d5cfa3	1	2	OAKL,COLS
