,ROCK_0,MCAR_0,19TH_0,12TH_0,WOAK_0,EMBR_0,MONT_0,POWL_0,CIVC_0
0,3/3/2015 6:04,3/3/2015 6:08,3/3/2015 6:11,3/3/2015 6:13,3/3/2015 6:18,3/3/2015 6:24,3/3/2015 6:26,3/3/2015 6:28,3/3/2015 6:30
1,3/3/2015 6:20,3/3/2015 6:23,3/3/2015 6:27,3/3/2015 6:28,3/3/2015 6:32,3/3/2015 6:40,3/3/2015 6:41,3/3/2015 6:43,3/3/2015 6:44
2,3/3/2015 6:34,3/3/2015 6:38,3/3/2015 6:42,3/3/2015 6:43,3/3/2015 6:47,3/3/2015 6:55,3/3/2015 6:56,3/3/2015 6:58,3/3/2015 6:59
3,3/3/2015 6:53,3/3/2015 6:56,3/3/2015 7:01,3/3/2015 7:03,3/3/2015 7:08,3/3/2015 7:15,3/3/2015 7:16,3/3/2015 7:18,3/3/2015 7:20
4,3/3/2015 7:04,3/3/2015 7:08,3/3/2015 7:12,3/3/2015 7:13,3/3/2015 7:18,3/3/2015 7:26,3/3/2015 7:28,3/3/2015 7:30,3/3/2015 7:31
5,3/3/2015 7:20,3/3/2015 7:23,3/3/2015 7:27,3/3/2015 7:29,3/3/2015 7:33,3/3/2015 7:42,3/3/2015 7:43,3/3/2015 7:45,3/3/2015 7:47
6,3/3/2015 7:37,3/3/2015 7:39,3/3/2015 7:44,3/3/2015 7:46,3/3/2015 7:50,3/3/2015 7:57,3/3/2015 7:59,3/3/2015 8:00,3/3/2015 8:02
7,3/3/2015 7:51,3/3/2015 7:54,3/3/2015 7:59,3/3/2015 8:00,3/3/2015 8:05,3/3/2015 8:12,3/3/2015 8:15,3/3/2015 8:16,3/3/2015 8:18
8,3/3/2015 8:06,3/3/2015 8:09,3/3/2015 8:13,3/3/2015 8:15,3/3/2015 8:19,3/3/2015 8:27,3/3/2015 8:29,3/3/2015 8:31,3/3/2015 8:32
9,3/3/2015 8:20,3/3/2015 8:23,3/3/2015 8:27,3/3/2015 8:29,3/3/2015 8:33,3/3/2015 8:40,3/3/2015 8:42,3/3/2015 8:44,3/3/2015 8:45
10,3/3/2015 8:35,3/3/2015 8:39,3/3/2015 8:43,3/3/2015 8:45,3/3/2015 8:54,3/3/2015 9:02,3/3/2015 9:06,3/3/2015 9:10,3/3/2015 9:11
11,3/3/2015 8:50,3/3/2015 8:54,3/3/2015 8:58,3/3/2015 9:01,3/3/2015 9:07,3/3/2015 9:17,3/3/2015 9:19,3/3/2015 9:20,3/3/2015 9:22
12,3/4/2015 6:05,3/4/2015 6:08,3/4/2015 6:12,3/4/2015 6:13,3/4/2015 6:18,3/4/2015 6:25,3/4/2015 6:27,3/4/2015 6:28,3/4/2015 6:30
13,3/4/2015 6:20,3/4/2015 6:23,3/4/2015 6:26,3/4/2015 6:28,3/4/2015 6:33,3/4/2015 6:39,3/4/2015 6:41,3/4/2015 6:43,3/4/2015 6:44
14,3/4/2015 6:35,3/4/2015 6:38,3/4/2015 6:43,3/4/2015 6:44,3/4/2015 6:49,3/4/2015 6:56,3/4/2015 6:58,3/4/2015 6:59,3/4/2015 7:01
15,3/4/2015 6:53,3/4/2015 6:56,3/4/2015 6:59,3/4/2015 7:01,3/4/2015 7:05,3/4/2015 7:12,3/4/2015 7:14,3/4/2015 7:17,3/4/2015 7:18
16,3/4/2015 7:04,3/4/2015 7:09,3/4/2015 7:12,3/4/2015 7:13,3/4/2015 7:19,3/4/2015 7:26,3/4/2015 7:28,3/4/2015 7:30,3/4/2015 7:31
17,3/4/2015 7:19,3/4/2015 7:23,3/4/2015 7:26,3/4/2015 7:28,3/4/2015 7:32,3/4/2015 7:40,3/4/2015 7:42,3/4/2015 7:43,3/4/2015 7:45
18,3/4/2015 7:37,3/4/2015 7:40,3/4/2015 7:44,3/4/2015 7:46,3/4/2015 7:50,3/4/2015 7:57,3/4/2015 7:59,3/4/2015 8:01,3/4/2015 8:02
19,3/4/2015 7:50,3/4/2015 7:53,3/4/2015 7:56,3/4/2015 7:58,3/4/2015 8:02,3/4/2015 8:10,3/4/2015 8:11,3/4/2015 8:13,3/4/2015 8:14
20,3/4/2015 8:05,3/4/2015 8:08,3/4/2015 8:13,3/4/2015 8:15,3/4/2015 8:19,3/4/2015 8:26,3/4/2015 8:31,3/4/2015 8:32,3/4/2015 8:34
21,3/4/2015 8:21,3/4/2015 8:24,3/4/2015 8:27,3/4/2015 8:30,3/4/2015 8:37,3/4/2015 8:44,3/4/2015 8:46,3/4/2015 8:48,3/4/2015 8:49
22,3/4/2015 8:35,3/4/2015 8:38,3/4/2015 8:42,3/4/2015 8:43,3/4/2015 8:49,3/4/2015 8:56,3/4/2015 8:58,3/4/2015 8:59,3/4/2015 9:01
23,3/4/2015 8:50,3/4/2015 8:53,3/4/2015 8:56,3/4/2015 8:58,3/4/2015 9:02,3/4/2015 9:10,3/4/2015 9:12,3/4/2015 9:13,3/4/2015 9:15
24,3/5/2015 6:05,3/5/2015 6:08,3/5/2015 6:11,3/5/2015 6:13,3/5/2015 6:18,3/5/2015 6:25,3/5/2015 6:27,3/5/2015 6:28,3/5/2015 6:29
25,3/5/2015 6:20,3/5/2015 6:23,3/5/2015 6:26,3/5/2015 6:28,3/5/2015 6:32,3/5/2015 6:39,3/5/2015 6:41,3/5/2015 6:43,3/5/2015 6:44
26,3/5/2015 6:34,3/5/2015 6:38,3/5/2015 6:41,3/5/2015 6:42,3/5/2015 6:47,3/5/2015 7:00,3/5/2015 7:02,3/5/2015 7:03,3/5/2015 7:05
27,3/5/2015 6:53,3/5/2015 6:56,3/5/2015 6:59,3/5/2015 7:01,3/5/2015 7:07,3/5/2015 7:14,3/5/2015 7:16,3/5/2015 7:17,3/5/2015 7:19
28,3/5/2015 7:05,3/5/2015 7:08,3/5/2015 7:12,3/5/2015 7:13,3/5/2015 7:17,3/5/2015 7:25,3/5/2015 7:27,3/5/2015 7:28,3/5/2015 7:30
29,3/5/2015 7:20,3/5/2015 7:23,3/5/2015 7:26,3/5/2015 7:28,3/5/2015 7:32,3/5/2015 7:40,3/5/2015 7:44,3/5/2015 7:45,3/5/2015 7:47
30,3/5/2015 7:35,3/5/2015 7:38,3/5/2015 7:44,3/5/2015 7:46,3/5/2015 7:50,3/5/2015 7:57,3/5/2015 7:59,3/5/2015 8:01,3/5/2015 8:03
31,3/5/2015 7:50,3/5/2015 7:53,3/5/2015 7:57,3/5/2015 7:59,3/5/2015 8:03,3/5/2015 8:11,3/5/2015 8:12,3/5/2015 8:14,3/5/2015 8:16
32,3/5/2015 8:05,3/5/2015 8:08,3/5/2015 8:12,3/5/2015 8:14,3/5/2015 8:18,3/5/2015 8:26,3/5/2015 8:28,3/5/2015 8:29,3/5/2015 8:31
33,3/5/2015 8:20,3/5/2015 8:23,3/5/2015 8:28,3/5/2015 8:29,3/5/2015 8:34,3/5/2015 8:41,3/5/2015 8:42,3/5/2015 8:44,3/5/2015 8:45
34,3/5/2015 8:36,3/5/2015 8:39,3/5/2015 8:42,3/5/2015 8:44,3/5/2015 8:49,3/5/2015 8:56,3/5/2015 8:58,3/5/2015 9:00,3/5/2015 9:01
35,3/5/2015 8:50,3/5/2015 8:53,3/5/2015 8:57,3/5/2015 8:58,3/5/2015 9:03,3/5/2015 9:11,3/5/2015 9:13,3/5/2015 9:14,3/5/2015 9:16
36,3/6/2015 6:05,3/6/2015 6:08,3/6/2015 6:11,3/6/2015 6:12,3/6/2015 6:17,3/6/2015 6:24,3/6/2015 6:26,3/6/2015 6:28,3/6/2015 6:29
37,3/6/2015 6:19,3/6/2015 6:23,3/6/2015 6:26,3/6/2015 6:27,3/6/2015 6:32,3/6/2015 6:39,3/6/2015 6:41,3/6/2015 6:43,3/6/2015 6:44
38,3/6/2015 6:36,3/6/2015 6:39,3/6/2015 6:42,3/6/2015 6:43,3/6/2015 6:47,3/6/2015 6:55,3/6/2015 6:57,3/6/2015 6:58,3/6/2015 7:00
39,3/6/2015 6:51,3/6/2015 6:54,3/6/2015 6:57,3/6/2015 6:59,3/6/2015 7:03,3/6/2015 7:11,3/6/2015 7:12,3/6/2015 7:14,3/6/2015 7:15
40,3/6/2015 7:08,3/6/2015 7:11,3/6/2015 7:14,3/6/2015 7:16,3/6/2015 7:20,3/6/2015 7:27,3/6/2015 7:29,3/6/2015 7:30,3/6/2015 7:32
41,3/6/2015 7:20,3/6/2015 7:24,3/6/2015 7:27,3/6/2015 7:28,3/6/2015 7:33,3/6/2015 7:40,3/6/2015 7:42,3/6/2015 7:43,3/6/2015 7:44
42,3/6/2015 7:35,3/6/2015 7:39,3/6/2015 7:44,3/6/2015 7:46,3/6/2015 7:51,3/6/2015 7:59,3/6/2015 8:00,3/6/2015 8:01,3/6/2015 8:03
43,3/6/2015 7:49,3/6/2015 7:53,3/6/2015 7:57,3/6/2015 7:59,3/6/2015 8:04,3/6/2015 8:14,3/6/2015 8:15,3/6/2015 8:17,3/6/2015 8:19
44,3/6/2015 8:05,3/6/2015 8:09,3/6/2015 8:13,3/6/2015 8:14,3/6/2015 8:19,3/6/2015 8:28,3/6/2015 8:29,3/6/2015 8:31,3/6/2015 8:33
45,3/6/2015 8:20,3/6/2015 8:24,3/6/2015 8:27,3/6/2015 8:29,3/6/2015 8:33,3/6/2015 8:40,3/6/2015 8:42,3/6/2015 8:44,3/6/2015 8:46
46,3/6/2015 8:36,3/6/2015 8:39,3/6/2015 8:42,3/6/2015 8:44,3/6/2015 8:48,3/6/2015 8:56,3/6/2015 8:58,3/6/2015 8:59,3/6/2015 9:01
47,3/6/2015 8:51,3/6/2015 8:54,3/6/2015 8:57,3/6/2015 8:58,3/6/2015 9:03,3/6/2015 9:10,3/6/2015 9:12,3/6/2015 9:14,3/6/2015 9:15
48,3/7/2015 6:14,3/7/2015 6:17,3/7/2015 6:20,3/7/2015 6:22,3/7/2015 6:27,3/7/2015 6:34,3/7/2015 6:35,3/7/2015 6:37,3/7/2015 6:38
49,3/7/2015 6:46,3/7/2015 6:49,3/7/2015 6:52,3/7/2015 6:53,3/7/2015 6:58,3/7/2015 7:04,3/7/2015 7:06,3/7/2015 7:07,3/7/2015 7:09
50,3/7/2015 6:52,3/7/2015 6:55,3/7/2015 6:59,3/7/2015 7:00,3/7/2015 7:05,3/7/2015 7:12,3/7/2015 7:13,3/7/2015 7:15,3/7/2015 7:16
51,3/7/2015 7:10,3/7/2015 7:14,3/7/2015 7:18,3/7/2015 7:19,3/7/2015 7:24,3/7/2015 7:31,3/7/2015 7:33,3/7/2015 7:35,3/7/2015 7:36
52,3/7/2015 7:33,3/7/2015 7:36,3/7/2015 7:39,3/7/2015 7:40,3/7/2015 7:44,3/7/2015 7:51,3/7/2015 7:52,3/7/2015 7:54,3/7/2015 7:55
53,3/7/2015 7:51,3/7/2015 7:54,3/7/2015 7:59,3/7/2015 8:00,3/7/2015 8:05,3/7/2015 8:12,3/7/2015 8:14,3/7/2015 8:15,3/7/2015 8:17
54,3/7/2015 8:10,3/7/2015 8:14,3/7/2015 8:18,3/7/2015 8:20,3/7/2015 8:25,3/7/2015 8:32,3/7/2015 8:33,3/7/2015 8:35,3/7/2015 8:37
55,3/7/2015 8:33,3/7/2015 8:36,3/7/2015 8:39,3/7/2015 8:40,3/7/2015 8:45,3/7/2015 8:52,3/7/2015 8:54,3/7/2015 8:55,3/7/2015 8:57
56,3/7/2015 8:55,3/7/2015 8:58,3/7/2015 9:02,3/7/2015 9:03,3/7/2015 9:07,3/7/2015 9:14,3/7/2015 9:16,3/7/2015 9:18,3/7/2015 9:19
57,3/8/2015 8:10,3/8/2015 8:14,3/8/2015 8:18,3/8/2015 8:19,3/8/2015 8:24,3/8/2015 8:31,3/8/2015 8:33,3/8/2015 8:34,3/8/2015 8:36
58,3/8/2015 8:37,3/8/2015 8:40,3/8/2015 8:43,3/8/2015 8:45,3/8/2015 8:49,3/8/2015 8:56,3/8/2015 8:58,3/8/2015 8:59,3/8/2015 9:00
59,3/8/2015 8:56,3/8/2015 8:59,3/8/2015 9:05,3/8/2015 9:06,3/8/2015 9:10,3/8/2015 9:17,3/8/2015 9:19,3/8/2015 9:20,3/8/2015 9:22
60,3/9/2015 6:05,3/9/2015 6:09,3/9/2015 6:12,3/9/2015 6:14,3/9/2015 6:18,3/9/2015 6:34,3/9/2015 6:36,3/9/2015 6:37,3/9/2015 6:39
