"","c..intercept...colnames.data...c.7.29..31.ncol.data.....","coefficients"
"1","intercept",0.00934398135246648
"2","l_1",0
"3","l_2",0
"4","l_3",0
"5","l_4",0.000158705089320931
"6","l_5",0
"7","l_6",0
"8","l_7",0
"9","l_8",0
"10","l_9",0
"11","l_10",0
"12","s_12",0
"13","s_16",0
"14","s_19",0
"15","s_24",0
"16","s_balb",0
"17","s_civc",0
"18","s_colm",0
"19","s_conc",0
"20","s_daly",0
"21","s_embr",0
"22","s_glen",0
"23","s_lafy",0
"24","s_mcar",0
"25","s_mont",0
"26","s_ncon",0
"27","s_orin",0
"28","s_phil",0
"29","s_powl",0
"30","s_rock",0
"31","s_sbrn",-0.0187017932692054
"32","s_sfia",0.00581997115682122
"33","s_ssan",-0.00124775918755066
"34","s_wcrk",0
"35","s_woak",0
"36","am",0
"37","arrival_time",-0.00118044544295419
